seed,disruption,regime,kappa,algorithm,makespan,imbalance,workload_A,workload_B
0,0.0,uniform,,POOL-LBA(=yours),105,8.0,75.0,67.0
0,0.0,uniform,,SLOT-G-DEF,105,56.0,99.0,43.0
0,0.0,uniform,,SLOT-G-LBA,105,6.0,68.0,74.0
0,0.0,uniform,,SLOT-LFT-DEF,103,52.0,97.0,45.0
0,0.0,uniform,,SLOT-LFT-LBA,103,0.0,71.0,71.0
0,0.0,uniform,,SLOT-RAND-DEF,102,60.0,101.0,41.0
0,0.0,uniform,,SLOT-RAND-LBA,103,10.0,66.0,76.0
0,0.0,heterogeneous,4.0,POOL-LBA(=yours),105,8.0,75.0,67.0
0,0.0,heterogeneous,4.0,SLOT-G-DEF,105,56.0,99.0,43.0
0,0.0,heterogeneous,4.0,SLOT-G-LBA,105,6.0,68.0,74.0
0,0.0,heterogeneous,4.0,SLOT-LFT-DEF,103,52.0,97.0,45.0
0,0.0,heterogeneous,4.0,SLOT-LFT-LBA,103,0.0,71.0,71.0
0,0.0,heterogeneous,4.0,SLOT-RAND-DEF,103,56.0,99.0,43.0
0,0.0,heterogeneous,4.0,SLOT-RAND-LBA,105,2.0,72.0,70.0
0,0.0,heterogeneous,16.0,POOL-LBA(=yours),105,8.0,75.0,67.0
0,0.0,heterogeneous,16.0,SLOT-G-DEF,105,56.0,99.0,43.0
0,0.0,heterogeneous,16.0,SLOT-G-LBA,105,6.0,68.0,74.0
0,0.0,heterogeneous,16.0,SLOT-LFT-DEF,103,52.0,97.0,45.0
0,0.0,heterogeneous,16.0,SLOT-LFT-LBA,103,0.0,71.0,71.0
0,0.0,heterogeneous,16.0,SLOT-RAND-DEF,103,64.0,103.0,39.0
0,0.0,heterogeneous,16.0,SLOT-RAND-LBA,102,10.0,76.0,66.0
0,0.0,heterogeneous,64.0,POOL-LBA(=yours),105,8.0,75.0,67.0
0,0.0,heterogeneous,64.0,SLOT-G-DEF,105,56.0,99.0,43.0
0,0.0,heterogeneous,64.0,SLOT-G-LBA,105,6.0,68.0,74.0
0,0.0,heterogeneous,64.0,SLOT-LFT-DEF,103,52.0,97.0,45.0
0,0.0,heterogeneous,64.0,SLOT-LFT-LBA,103,0.0,71.0,71.0
0,0.0,heterogeneous,64.0,SLOT-RAND-DEF,109,66.0,104.0,38.0
0,0.0,heterogeneous,64.0,SLOT-RAND-LBA,102,8.0,75.0,67.0
0,0.1,uniform,,POOL-LBA(=yours),119,8.0,77.0,85.0
0,0.1,uniform,,SLOT-G-DEF,119,62.0,112.0,50.0
0,0.1,uniform,,SLOT-G-LBA,119,6.0,78.0,84.0
0,0.1,uniform,,SLOT-LFT-DEF,117,58.0,110.0,52.0
0,0.1,uniform,,SLOT-LFT-LBA,117,0.0,81.0,81.0
0,0.1,uniform,,SLOT-RAND-DEF,117,58.0,110.0,52.0
0,0.1,uniform,,SLOT-RAND-LBA,114,8.0,77.0,85.0
0,0.1,heterogeneous,4.0,POOL-LBA(=yours),120,7.0,76.0,83.0
0,0.1,heterogeneous,4.0,SLOT-G-DEF,120,65.0,112.0,47.0
0,0.1,heterogeneous,4.0,SLOT-G-LBA,120,9.0,84.0,75.0
0,0.1,heterogeneous,4.0,SLOT-LFT-DEF,118,57.0,108.0,51.0
0,0.1,heterogeneous,4.0,SLOT-LFT-LBA,118,1.0,79.0,80.0
0,0.1,heterogeneous,4.0,SLOT-RAND-DEF,112,61.0,110.0,49.0
0,0.1,heterogeneous,4.0,SLOT-RAND-LBA,124,15.0,87.0,72.0
0,0.1,heterogeneous,16.0,POOL-LBA(=yours),120,6.0,84.0,78.0
0,0.1,heterogeneous,16.0,SLOT-G-DEF,120,62.0,112.0,50.0
0,0.1,heterogeneous,16.0,SLOT-G-LBA,120,6.0,84.0,78.0
0,0.1,heterogeneous,16.0,SLOT-LFT-DEF,117,60.0,111.0,51.0
0,0.1,heterogeneous,16.0,SLOT-LFT-LBA,117,2.0,82.0,80.0
0,0.1,heterogeneous,16.0,SLOT-RAND-DEF,114,48.0,105.0,57.0
0,0.1,heterogeneous,16.0,SLOT-RAND-LBA,113,4.0,79.0,83.0
0,0.1,heterogeneous,64.0,POOL-LBA(=yours),119,6.0,77.0,83.0
0,0.1,heterogeneous,64.0,SLOT-G-DEF,119,62.0,111.0,49.0
0,0.1,heterogeneous,64.0,SLOT-G-LBA,119,8.0,76.0,84.0
0,0.1,heterogeneous,64.0,SLOT-LFT-DEF,116,54.0,107.0,53.0
0,0.1,heterogeneous,64.0,SLOT-LFT-LBA,116,0.0,80.0,80.0
0,0.1,heterogeneous,64.0,SLOT-RAND-DEF,117,74.0,117.0,43.0
0,0.1,heterogeneous,64.0,SLOT-RAND-LBA,115,8.0,84.0,76.0
0,0.2,uniform,,POOL-LBA(=yours),125,9.0,89.0,80.0
0,0.2,uniform,,SLOT-G-DEF,125,67.0,118.0,51.0
0,0.2,uniform,,SLOT-G-LBA,125,9.0,89.0,80.0
0,0.2,uniform,,SLOT-LFT-DEF,122,61.0,115.0,54.0
0,0.2,uniform,,SLOT-LFT-LBA,122,1.0,84.0,85.0
0,0.2,uniform,,SLOT-RAND-DEF,120,53.0,111.0,58.0
